,COV_GDR,COV_AGR,COV_REG,NUM_CASE
0,1,1,1,683
1,1,1,2,28877
2,1,1,3,31272
3,1,1,4,26269
4,1,1,5,35
5,1,2,1,736
6,1,2,2,19865
7,1,2,3,39053
8,1,2,4,17693
9,1,2,5,104
10,1,3,1,509
11,1,3,2,17298
12,1,3,3,29287
13,1,3,4,17709
14,1,3,5,104
15,1,4,1,453
16,1,4,2,17407
17,1,4,3,24074
18,1,4,4,14353
19,1,4,5,80
20,1,5,1,443
21,1,5,2,15563
22,1,5,3,23775
23,1,5,4,11000
24,1,5,5,94
25,1,6,1,301
26,1,6,2,10215
27,1,6,3,15716
28,1,6,4,6783
29,1,6,5,83
30,1,7,1,157
31,1,7,2,5942
32,1,7,3,7535
33,1,7,4,3042
34,1,7,5,46
35,1,8,1,63
36,1,8,2,6318
37,1,8,3,5497
38,1,8,4,2368
39,1,8,5,45
40,2,1,1,686
41,2,1,2,27471
42,2,1,3,29224
43,2,1,4,24917
44,2,1,5,32
45,2,2,1,651
46,2,2,2,21229
47,2,2,3,35292
48,2,2,4,17301
49,2,2,5,101
50,2,3,1,429
51,2,3,2,19929
52,2,3,3,28522
53,2,3,4,18378
54,2,3,5,111
55,2,4,1,434
56,2,4,2,20129
57,2,4,3,25889
58,2,4,4,14944
59,2,4,5,103
60,2,5,1,403
61,2,5,2,16098
62,2,5,3,24624
63,2,5,4,10774
64,2,5,5,91
65,2,6,1,250
66,2,6,2,9372
67,2,6,3,14510
68,2,6,4,6450
69,2,6,5,70
70,2,7,1,141
71,2,7,2,6295
72,2,7,3,7487
73,2,7,4,3194
74,2,7,5,37
75,2,8,1,164
76,2,8,2,12655
77,2,8,3,9823
78,2,8,4,3689
79,2,8,5,51
