,COV_GDR,COV_AGR,COV_REG,COV_ASM,NUM_ASM
0,1,1,1,2,485
1,1,1,2,2,20325
2,1,1,3,2,22869
3,1,1,4,2,20455
4,1,1,5,2,35
5,1,2,1,2,590
6,1,2,2,2,17022
7,1,2,3,2,31963
8,1,2,4,2,15487
9,1,2,5,2,104
10,1,3,1,2,413
11,1,3,2,2,14999
12,1,3,3,2,24447
13,1,3,4,2,15608
14,1,3,5,2,104
15,1,4,1,2,365
16,1,4,2,2,15214
17,1,4,3,2,20220
18,1,4,4,2,12760
19,1,4,5,2,80
20,1,5,1,2,366
21,1,5,2,2,13565
22,1,5,3,2,19720
23,1,5,4,2,9727
24,1,5,5,2,94
25,1,6,1,2,249
26,1,6,2,2,8524
27,1,6,3,2,12426
28,1,6,4,2,5958
29,1,6,5,2,83
30,1,7,1,2,139
31,1,7,2,2,4844
32,1,7,3,2,5658
33,1,7,4,2,2592
34,1,7,5,2,46
35,1,8,1,2,47
36,1,8,2,2,4984
37,1,8,3,2,3771
38,1,8,4,2,1972
39,1,8,5,2,45
40,2,1,1,2,507
41,2,1,2,2,20026
42,2,1,3,2,21805
43,2,1,4,2,19721
44,2,1,5,2,32
45,2,2,1,2,578
46,2,2,2,2,19085
47,2,2,3,2,29989
48,2,2,4,2,15870
49,2,2,5,2,101
50,2,3,1,2,370
51,2,3,2,2,18014
52,2,3,3,2,24696
53,2,3,4,2,16978
54,2,3,5,2,111
55,2,4,1,2,382
56,2,4,2,2,18192
57,2,4,3,2,22281
58,2,4,4,2,13831
59,2,4,5,2,103
60,2,5,1,2,360
61,2,5,2,2,14461
62,2,5,3,2,20907
63,2,5,4,2,9838
64,2,5,5,2,91
65,2,6,1,2,219
66,2,6,2,2,8109
67,2,6,3,2,11858
68,2,6,4,2,5809
69,2,6,5,2,70
70,2,7,1,2,115
71,2,7,2,2,5132
72,2,7,3,2,5776
73,2,7,4,2,2749
74,2,7,5,2,37
75,2,8,1,2,141
76,2,8,2,2,9956
77,2,8,3,2,6178
78,2,8,4,2,2878
79,2,8,5,2,51
