,COV_GDR,COV_AGR,COV_REG,COV_DTH,NUM_DTH
0,1,1,1,2,1076
1,1,1,2,2,46649
2,1,1,3,2,50639
3,1,1,4,2,42598
4,1,1,5,2,64
5,1,2,1,2,1195
6,1,2,2,2,31881
7,1,2,3,2,63310
8,1,2,4,2,28587
9,1,2,5,2,164
10,1,3,1,2,786
11,1,3,2,2,27783
12,1,3,3,2,47223
13,1,3,4,2,28705
14,1,3,5,2,181
15,1,4,1,2,713
16,1,4,2,2,28211
17,1,4,3,2,38894
18,1,4,4,2,23408
19,1,4,5,2,129
20,1,5,1,2,721
21,1,5,2,2,25304
22,1,5,3,2,38250
23,1,5,4,2,17683
24,1,5,5,2,147
25,1,6,1,2,483
26,1,6,2,2,15886
27,1,6,3,2,24648
28,1,6,4,2,10578
29,1,6,5,2,117
30,1,7,1,2,203
31,1,7,2,2,8342
32,1,7,3,2,10905
33,1,7,4,2,4382
34,1,7,5,2,65
35,1,8,1,2,81
36,1,8,2,2,6914
37,1,8,3,2,6477
38,1,8,4,2,2776
39,1,8,5,2,40
40,2,1,1,2,1080
41,2,1,2,2,44408
42,2,1,3,2,47507
43,2,1,4,2,40229
44,2,1,5,2,54
45,2,2,1,2,1036
46,2,2,2,2,34169
47,2,2,3,2,57150
48,2,2,4,2,28131
49,2,2,5,2,153
50,2,3,1,2,690
51,2,3,2,2,32430
52,2,3,3,2,46314
53,2,3,4,2,29878
54,2,3,5,2,184
55,2,4,1,2,695
56,2,4,2,2,32486
57,2,4,3,2,42277
58,2,4,4,2,24050
59,2,4,5,2,159
60,2,5,1,2,663
61,2,5,2,2,25975
62,2,5,3,2,39867
63,2,5,4,2,17281
64,2,5,5,2,172
65,2,6,1,2,418
66,2,6,2,2,14923
67,2,6,3,2,23217
68,2,6,4,2,10069
69,2,6,5,2,109
70,2,7,1,2,217
71,2,7,2,2,9138
72,2,7,3,2,11390
73,2,7,4,2,4755
74,2,7,5,2,68
75,2,8,1,2,243
76,2,8,2,2,16128
77,2,8,3,2,12825
78,2,8,4,2,4848
79,2,8,5,2,68
