,COV_GDR,COV_AGR,COV_REG,NUM_CASE,COV_ASM,NUM_ASM,COV_DTH,NUM_DTH,COV_HSP,NUM_HSP,PER_ASM,PER_DTH,PER_HSP
0,1,1,1,1076,2,766,,,,,0.7118959107806692,,
1,1,1,2,46649,2,32862,,,1.0,13.0,0.7044523998370812,,0.0002786769276940556
2,1,1,3,50639,2,37145,,,1.0,17.0,0.7335255435533877,,0.0003357096309168822
3,1,1,4,42598,2,33148,,,1.0,44.0,0.778158598995258,,0.0010329123433025025
4,1,1,5,64,2,64,,,,,1.0,,
5,1,2,1,1195,2,947,,,1.0,4.0,0.792468619246862,,0.0033472803347280333
6,1,2,2,31881,2,27362,,,1.0,49.0,0.8582541325554406,,0.001536965590790753
7,1,2,3,63310,2,51804,,,1.0,60.0,0.8182593587111041,,0.000947717580161112
8,1,2,4,28587,2,25019,,,1.0,62.0,0.8751880225277224,,0.002168817994193165
9,1,2,5,164,2,164,,,1.0,1.0,1.0,,0.006097560975609756
10,1,3,1,786,2,630,,,1.0,3.0,0.8015267175572519,,0.003816793893129771
11,1,3,2,27783,2,24032,,,1.0,116.0,0.8649893819961847,,0.004175215059568801
12,1,3,3,47223,2,39491,,,1.0,154.0,0.8362662262033331,,0.003261122757978104
13,1,3,4,28705,2,25288,,,1.0,127.0,0.8809615049642919,,0.004424316321198397
14,1,3,5,181,2,181,,,1.0,4.0,1.0,,0.022099447513812154
15,1,4,1,713,2,579,,,1.0,9.0,0.8120617110799438,,0.012622720897615708
16,1,4,2,28211,2,24624,,,1.0,226.0,0.8728510155613058,,0.008011059515791712
17,1,4,3,38894,2,32593,,,1.0,299.0,0.8379955777240705,,0.007687561063403096
18,1,4,4,23408,2,20822,,,1.0,239.0,0.889524948735475,,0.010210184552289815
19,1,4,5,129,2,129,,,1.0,6.0,1.0,,0.046511627906976744
20,1,5,1,724,2,601,1.0,3.0,1.0,6.0,0.830110497237569,0.004143646408839779,0.008287292817679558
21,1,5,2,25436,2,22148,1.0,132.0,1.0,571.0,0.8707343922000315,0.005189495203648372,0.02244849819153955
22,1,5,3,38537,2,31885,1.0,287.0,1.0,702.0,0.8273866673586423,0.007447388224303916,0.0182162596984716
23,1,5,4,17847,2,15786,1.0,164.0,1.0,485.0,0.8845184064548663,0.009189219476662744,0.02717543564744775
24,1,5,5,147,2,147,,,1.0,16.0,1.0,,0.10884353741496598
25,1,6,1,492,2,420,1.0,9.0,1.0,25.0,0.8536585365853658,0.018292682926829267,0.0508130081300813
26,1,6,2,16344,2,13690,1.0,458.0,1.0,714.0,0.8376162506118453,0.028022515907978465,0.04368575624082232
27,1,6,3,25338,2,20141,1.0,690.0,1.0,975.0,0.7948930460178388,0.027231825716315414,0.038479753729576134
28,1,6,4,10928,2,9592,1.0,350.0,1.0,605.0,0.8777452415812591,0.032027818448023423,0.05536237188872621
29,1,6,5,124,2,124,1.0,7.0,1.0,14.0,1.0,0.056451612903225805,0.11290322580645161
30,1,7,1,231,2,202,1.0,28.0,1.0,9.0,0.8744588744588745,0.12121212121212122,0.03896103896103896
31,1,7,2,9585,2,7813,1.0,1243.0,1.0,724.0,0.8151278038601982,0.12968179447052686,0.07553468961919667
32,1,7,3,12060,2,9126,1.0,1155.0,1.0,769.0,0.7567164179104477,0.09577114427860696,0.06376451077943615
33,1,7,4,4977,2,4282,1.0,595.0,1.0,374.0,0.8603576451677718,0.11954992967651196,0.07514567008237895
34,1,7,5,75,2,75,1.0,10.0,1.0,19.0,1.0,0.13333333333333333,0.25333333333333335
35,1,8,1,102,2,75,1.0,21.0,1.0,3.0,0.7352941176470589,0.20588235294117646,0.029411764705882353
36,1,8,2,10320,2,8153,1.0,3406.0,1.0,332.0,0.7900193798449613,0.33003875968992247,0.03217054263565892
37,1,8,3,8917,2,6154,1.0,2440.0,1.0,336.0,0.6901424245822586,0.27363463048110354,0.03768083436133229
38,1,8,4,3872,2,3212,1.0,1096.0,1.0,102.0,0.8295454545454546,0.2830578512396694,0.02634297520661157
39,1,8,5,76,2,76,1.0,36.0,1.0,8.0,1.0,0.47368421052631576,0.10526315789473684
40,2,1,1,1080,2,792,,,,,0.7333333333333333,,
41,2,1,2,44408,2,32282,,,1.0,19.0,0.7269410916951901,,0.00042785083768690326
42,2,1,3,47507,2,35444,,,1.0,18.0,0.7460795251226136,,0.00037889153177426483
43,2,1,4,40229,2,31868,,,1.0,33.0,0.7921648561982649,,0.0008203037609684555
44,2,1,5,54,2,54,,,,,1.0,,
45,2,2,1,1036,2,915,,,1.0,4.0,0.8832046332046332,,0.003861003861003861
46,2,2,2,34169,2,30744,,,1.0,42.0,0.8997629430185256,,0.0012291843483859639
47,2,2,3,57150,2,48648,,,1.0,57.0,0.8512335958005249,,0.0009973753280839894
48,2,2,4,28131,2,25777,,,1.0,68.0,0.9163200739397818,,0.002417262095197469
49,2,2,5,153,2,153,,,1.0,2.0,1.0,,0.013071895424836602
50,2,3,1,690,2,605,,,1.0,2.0,0.8768115942028986,,0.002898550724637681
51,2,3,2,32430,2,29289,,,1.0,80.0,0.9031452358926919,,0.002466851680542707
52,2,3,3,46314,2,40145,,,1.0,118.0,0.8668005354752343,,0.0025478257114479423
53,2,3,4,29878,2,27609,,,1.0,121.0,0.9240578351964657,,0.004049802530289846
